student_id,timestamp,current_location,next_location,event_type,crowd_density,time_of_day
103,2026-03-15 08:00:00,canteen,lab,technical,high,morning
180,2026-03-15 08:00:00,lab,lab,technical,high,afternoon
93,2026-03-15 08:00:00,stage,canteen,cultural,medium,afternoon
15,2026-03-15 08:00:00,stage,lab,cultural,low,evening
107,2026-03-15 08:00:00,lab,canteen,technical,high,afternoon
72,2026-03-15 08:00:00,stage,lab,technical,low,morning
189,2026-03-15 08:00:00,stage,canteen,sports,high,evening
21,2026-03-15 08:00:00,lab,stage,sports,medium,morning
103,2026-03-15 08:00:00,stage,canteen,cultural,high,morning
122,2026-03-15 08:00:00,canteen,canteen,sports,low,evening
75,2026-03-15 08:00:00,lab,stage,technical,low,morning
88,2026-03-15 08:00:00,canteen,lab,technical,low,evening
117,2026-03-15 08:01:00,stage,canteen,technical,medium,morning
100,2026-03-15 08:01:00,stage,lab,technical,high,morning
104,2026-03-15 08:01:00,lab,canteen,cultural,medium,evening
152,2026-03-15 08:01:00,stage,canteen,technical,medium,morning
131,2026-03-15 08:01:00,lab,lab,technical,low,morning
150,2026-03-15 08:01:00,lab,canteen,technical,low,evening
53,2026-03-15 08:01:00,lab,lab,technical,medium,evening
2,2026-03-15 08:01:00,lab,lab,cultural,medium,evening
88,2026-03-15 08:01:00,lab,lab,cultural,high,afternoon
158,2026-03-15 08:01:00,canteen,lab,sports,low,morning
38,2026-03-15 08:01:00,lab,lab,cultural,low,evening
130,2026-03-15 08:02:00,canteen,canteen,cultural,low,morning
192,2026-03-15 08:02:00,stage,lab,cultural,high,evening
188,2026-03-15 08:02:00,lab,stage,sports,high,morning
21,2026-03-15 08:02:00,stage,canteen,technical,low,morning
161,2026-03-15 08:02:00,lab,lab,sports,low,evening
58,2026-03-15 08:02:00,canteen,lab,technical,medium,evening
22,2026-03-15 08:02:00,canteen,lab,cultural,medium,afternoon
89,2026-03-15 08:02:00,canteen,lab,technical,high,evening
49,2026-03-15 08:02:00,stage,lab,sports,low,evening
59,2026-03-15 08:02:00,lab,lab,technical,medium,evening
170,2026-03-15 08:02:00,stage,canteen,technical,medium,afternoon
188,2026-03-15 08:02:00,canteen,stage,cultural,low,morning
15,2026-03-15 08:02:00,stage,canteen,technical,low,afternoon
190,2026-03-15 08:03:00,canteen,lab,technical,medium,morning
190,2026-03-15 08:03:00,canteen,stage,cultural,low,evening
175,2026-03-15 08:03:00,canteen,stage,sports,low,evening
190,2026-03-15 08:03:00,lab,canteen,cultural,high,evening
51,2026-03-15 08:03:00,lab,lab,technical,medium,afternoon
108,2026-03-15 08:03:00,canteen,lab,cultural,medium,afternoon
55,2026-03-15 08:03:00,stage,canteen,cultural,high,evening
64,2026-03-15 08:03:00,stage,canteen,technical,high,afternoon
131,2026-03-15 08:03:00,lab,canteen,sports,medium,evening
51,2026-03-15 08:03:00,canteen,stage,cultural,medium,afternoon
135,2026-03-15 08:04:00,stage,stage,sports,low,evening
21,2026-03-15 08:04:00,canteen,lab,cultural,low,afternoon
73,2026-03-15 08:04:00,stage,lab,technical,medium,morning
167,2026-03-15 08:04:00,lab,stage,technical,low,evening
18,2026-03-15 08:04:00,canteen,stage,cultural,low,afternoon
132,2026-03-15 08:04:00,canteen,canteen,cultural,low,afternoon
89,2026-03-15 08:04:00,stage,canteen,cultural,high,evening
60,2026-03-15 08:04:00,stage,canteen,technical,medium,afternoon
14,2026-03-15 08:04:00,stage,canteen,cultural,medium,morning
9,2026-03-15 08:04:00,canteen,stage,technical,medium,morning
90,2026-03-15 08:04:00,lab,lab,cultural,low,afternoon
53,2026-03-15 08:04:00,lab,lab,technical,low,evening
130,2026-03-15 08:04:00,stage,canteen,cultural,high,afternoon
84,2026-03-15 08:04:00,lab,canteen,sports,high,afternoon
92,2026-03-15 08:05:00,stage,lab,sports,medium,morning
111,2026-03-15 08:05:00,lab,lab,technical,high,afternoon
188,2026-03-15 08:05:00,canteen,stage,cultural,high,evening
